,count,values
copyright,188,"['- This value set includes content from SNOMED CT, which is copyright © 2002+ International Health Terminology Standards Development Organisation (IHTSDO), and distributed by agreement between IHTSDO and HL7. Implementer use of SNOMED CT is not covered by this agreement.\n- This material contains content from LOINC (http://loinc.org). LOINC is copyright © 1995-2020, Regenstrief Institute, Inc. and the Logical Observation Identifiers Names and Codes (LOINC) Committee and is available at no cost under the license at http://loinc.org/license. LOINC® is a registered United States trademark of Regenstrief Institute, Inc""/>', '1. Current Procedural Terminology (CPT) is copyright 2020 American Medical Association. All rights reserved\n2. This value set includes content from SNOMED CT, which is copyright © 2002+ International Health Terminology  Standards Development Organisation (IHTSDO), and distributed by agreement  between IHTSDO and HL7. Implementer use of SNOMED CT is not covered by this  agreement.\n3. HCPCS Level II Alphanumeric Codes codes are maintained by the US Center  for Medicare and Medicaid Services (CMS) available for public use.\n4. The International Classification of Diseases, Tenth Revision, Procedure  Coding System (ICD-10-PCS) was developed for the Centers for Medicare and  Medicaid Services (CMS) available for public use.  CMS is the U.S.  governmental agency responsible for overseeing all changes and modifications  to the ICD-10-PCS.\n5. The ADA is the exclusive copyright owner of CDT, the Code on Dental  Procedures and Nomenclature (the Code), and the ADA Dental Claim Form. Except  as permitted by law, all use, copying or distribution of CDT, or any portion  thereof (including the Code on Dental Procedures and Nomenclature) in any  product or services (including works prepared for clients by consultants and  other professionals), whether in printed, electronic or other format, requires  a valid commercial user license from the ADA. CDT ® is a registered trademark  of the American Dental Association. All Rights Reserved.\n6. This material contains content from LOINC (http://loinc.org). LOINC is copyright © 1995-2020, Regenstrief Institute, Inc. and the Logical Observation Identifiers Names and Codes (LOINC) Committee and is available at no cost under the license at http://loinc.org/license. LOINC ® is a registered United States trademark of Regenstrief Institute, Inc', '1. This value set includes content from SNOMED CT, which is copyright © 2002+ International Health Terminology Standards Development Organisation (IHTSDO), and distributed by agreement between IHTSDO and HL7. Implementer use of SNOMED CT is not covered by this agreement.\n2. Current Procedural Terminology (CPT) is copyright 2020 American Medical Association. All rights reserved', '1. This value set includes content from SNOMED CT, which is copyright © 2002+ International Health Terminology Standards Development Organisation (IHTSDO), and distributed by agreement between IHTSDO and HL7. Implementer use of SNOMED CT is not covered by this agreement.\n2. ICD-9 and ICD-10 are copyrighted by the World Health Organization (WHO) which owns and publishes the classification. See https://www.who.int/classifications/icd/en. WHO has authorized the development of an adaptation of ICD-9 and ICD-10 to ICD-9-CM to ICD-10-CM for use in the United States for U.S. government purposes.', '1. This value set includes content from SNOMED CT, which is copyright © 2002+ International Health Terminology Standards Development Organisation (IHTSDO), and distributed by agreement between IHTSDO and HL7. Implementer use of SNOMED CT is not covered by this agreement.\n2. This material contains content from LOINC (http://loinc.org). LOINC is copyright © 1995-2020, Regenstrief Institute, Inc. and the Logical Observation Identifiers Names and Codes (LOINC) Committee and is available at no cost under the license at http://loinc.org/license. LOINC ® is a registered United States trademark of Regenstrief Institute, Inc', 'HL7', ""ISO Maintains the copyright on the country codes and controls it's use carefully. For further details, see the [ISO 3166 Home Page](http://www.iso.org/iso/country_codes.htm)"", 'On July 1, 1963, the Post Office Department implemented the five-digit ZIP Code, which was placed after the state name in the last line of an address. To provide room for the ZIP Code, the Department issued two-letter abbreviations for all states and territories. Publication 59, Abbreviations for Use with ZIP Code, issued by the Department in October 1963. There is no copyright restriction on this value set.', 'The Official UB-04 Data Specifications Manual 2022 is copyrighted by the American Hospital Association. It is the only official source of UB-04 billing information adopted by the National Uniform Billing Committee (NUBC). To license an electronic version of the UB-04 code set for internal use or integration into products and services, contact the Licensing Department at [ub04@aha.org](mailto:ub04@aha.org).', 'This material contains content from LOINC (http://loinc.org). LOINC is copyright © 1995-2020, Regenstrief Institute, Inc. and the Logical Observation Identifiers Names and Codes (LOINC) Committee and is available at no cost under the license at http://loinc.org/license. LOINC® is a registered United States trademark of Regenstrief Institute, Inc', 'This value set includes content from NUCC Health Care Provider Taxonomy Code Set for providers which is copyright © 2016+ American Medical Association.  For commercial use, including sales or licensing, a license must be obtained.', 'This value set includes content from SNOMED CT, which is copyright © 2002+ International Health Terminology Standards Development Organisation (IHTSDO), and distributed by agreement between IHTSDO and HL7. Implementer use of SNOMED CT is not covered by this agreement', 'Used by permission of HL7 International, all rights reserved Creative Commons License']"
mapping.identity,102,"['cda', 'fhirauditevent', 'fhircomposition', 'loinc', 'quick', 'rim', 'script10.6', 'sct-attr', 'sct-concept', 'servd', 'udi', 'v2', 'w3c.prov', 'w5', 'workflow', 'xds']"
differential.element.definition,100,"[""A code classifying the person's sex assigned at birth  as specified by the [Office of the National Coordinator for Health IT (ONC)](https://www.healthit.gov/newsroom/about-onc)."", 'Aggregate set of Observations that represent question answer pairs for both multi-question surveys and multi-select questions.', 'Concepts classifying the person into a named category of humans sharing common history, traits, geographical origin or nationality.  The ethnicity codes used to represent these concepts are based upon the [CDC ethnicity and Ethnicity Code Set Version 1.0](http://www.cdc.gov/phin/resources/vocabulary/index.html) which includes over 900 concepts for representing race and ethnicity of which 43 reference ethnicity.  The ethnicity concepts are grouped by and pre-mapped to the 2 OMB ethnicity categories: - Hispanic or Latino - Not Hispanic or Latino.', 'Concepts classifying the person into a named category of humans sharing common history, traits, geographical origin or nationality.  The race codes used to represent these concepts are based upon the [CDC Race and Ethnicity Code Set Version 1.0](http://www.cdc.gov/phin/resources/vocabulary/index.html) which includes over 900 concepts for representing race and ethnicity of which 921 reference race.  The race concepts are grouped by and pre-mapped to the 5 OMB race categories:\n\n   - American Indian or Alaska Native\n   - Asian\n   - Black or African American\n   - Native Hawaiian or Other Pacific Islander\n   - White.', ""For lab tests this is the specimen collection date.  For Ask at Order Entry Questions (AOE)'s this is the date the question was asked."", 'Observations or QuestionnaireResponses from which this observation value is derived.', 'Plain text representation of the ethnicity concept(s).', 'Plain text representation of the race concept(s).', 'Tags that a provider may use in their workflow to indicate/categorize that the context of this Questionnaire Response relates to Social Determinants of Health.', 'The 2 ethnicity category codes according to the [OMB Standards for Maintaining, Collecting, and Presenting Federal Data on Race and Ethnicity, Statistical Policy Directive No. 15, as revised, October 30, 1997](https://www.govinfo.gov/content/pkg/FR-1997-10-30/pdf/97-28653.pdf).', 'The 41 CDC ethnicity codes that are grouped under one of the 2 OMB ethnicity category codes.', 'The 5 race category codes according to the [OMB Standards for Maintaining, Collecting, and Presenting Federal Data on Race and Ethnicity, Statistical Policy Directive No. 15, as revised, October 30, 1997](https://www.govinfo.gov/content/pkg/FR-1997-10-30/pdf/97-28653.pdf).', 'The 900+ CDC race codes that are grouped under one of the 5 OMB race category codes:.', 'The Laboratory result value.  If a coded value,  the valueCodeableConcept.code **SHOULD** be selected from [SNOMED CT](http://hl7.org/fhir/ValueSet/uslab-obs-codedresults) if the concept exists. If a numeric value, valueQuantity.code **SHALL** be selected from [UCUM](http://unitsofmeasure.org).  A FHIR [UCUM Codes value set](http://hl7.org/fhir/STU3/valueset-ucum-units.html) that defines all UCUM codes is in the FHIR specification.', 'The Sexual Orientation value.', 'The entity that provided the copy to your system.', 'The name of the imaging test performed on a patient.  A LOINC **SHALL** be used if the concept is present in LOINC.', 'The name of the non-imaging or non-laboratory test performed on a patient.  A LOINC **SHALL** be used if the concept is present in LOINC.', 'The test that was performed.  A LOINC **SHALL** be used if the concept is present in LOINC.', 'The test, panel or battery that was ordered.', 'The test, panel, report, or note that was ordered.', 'The time or time-period the observed value is asserted as being true. For biological subjects - e.g. human patients - this is usually called the ""physiologically relevant time"".', 'This email address is associated with a ""direct"" service - e.g. http://wiki.directproject.org/Addressing+Specification. This extension can only be used on contact points where the system = \'email\'', 'This extension is used when the survey,form, or questionnaire which is being anwered is not a FHIR [Questionnaire](https://www.hl7.org/fhir/questionnaire.html), otherwise the [canonical url](https://www.hl7.org/fhir/questionnaire.html#canonical) for the FHIR Questionnaire is used.', 'This records the time during which the patient had identified their emotional, romantic, sexual, or affectional attraction to another person.', 'Type of plan.', 'Used when reporting component observation such as systolic and diastolic blood pressure.', 'Used when reporting flow rates or oxygen concentration.', 'Vital Signs value are typically recorded using the Quantity data type.', 'Vital Signs value are typically recorded using the Quantity data type. For supporting observations such as cuff size could use other datatypes such as CodeableConcept.', 'Who care plan is for.', '\\-']"
entry.resource.agent.onBehalfOf.reference,2,['Organization/saint-luke-w-endpoint']
item.item.item.linkId,2,"['/93039-6/76501-6', '/93039-6/93026-3', '/93039-6/93027-1', '/93039-6/93028-9', '/93040-4/93029-7', '/93040-4/93038-8', '/93041-2/63586-2', '/93041-2/67875-5', '/93041-2/76437-3', '/93041-2/82589-3', '/93041-2/93030-5', '/93041-2/93031-3', '/93042-0/56799-0', '/93042-0/63512-8', '/93042-0/71802-3', '/93042-0/93033-9', '/93043-8/32624-9', '/93043-8/54899-0', '/93043-8/56051-6', '/93043-8/93034-7', '/93043-8/93035-4']"
differential.element.min,98,"[0, 1, 2]"
snapshot.element.type.extension.valueString,2,['\\S*']
snapshot.element.type.code,102,"['Address', 'Age', 'Annotation', 'Attachment', 'BackboneElement', 'CodeableConcept', 'Coding', 'ContactDetail', 'ContactPoint', 'Contributor', 'Count', 'DataRequirement', 'Distance', 'Dosage', 'Duration', 'Element', 'Expression', 'Extension', 'HumanName', 'Identifier', 'Meta', 'Money', 'Narrative', 'ParameterDefinition', 'Period', 'Quantity', 'Range', 'Ratio', 'Reference', 'RelatedArtifact', 'Resource', 'SampledData', 'Signature', 'Timing', 'TriggerDefinition', 'UsageContext', 'base64Binary', 'boolean', 'canonical', 'code', 'date', 'dateTime', 'decimal', 'http://hl7.org/fhirpath/System.String', 'id', 'instant', 'integer', 'markdown', 'oid', 'positiveInt', 'string', 'time', 'unsignedInt', 'uri', 'url', 'uuid', 'xhtml']"
differential.element.type.extension.valueBoolean,34,[True]
period.end,2,['2015-11-01T18:00:14-05:00']
entry.resource.address.state,2,['MI']
verificationStatus.coding.display,6,['Confirmed']
xpathUsage,196,['normal']
differential.element.constraint.expression,30,"['$this is DateTime implies $this.toString().length() >= 10', '((who.resolve() is Practitioner) or (who.resolve() is Device)) implies onBehalfOf.exists()', '(component.empty() and hasMember.empty()) implies (dataAbsentReason.exists() or value.exists())', ""(name.family.exists() or name.given.exists()) xor extension.where(url='http://hl7.org/fhir/StructureDefinition/data-absent-reason').exists()"", ""(status='completed' or status='in-progress') implies performed.exists()"", ""(status='partial' or status='preliminary' or status='final' or status='amended' or status='corrected' or status='appended' ) implies effective.exists()"", ""(status='partial' or status='preliminary' or status='final' or status='amended' or status='corrected' or status='appended' ) implies issued.exists()"", 'name.exists() or relationship.exists()', 'practitioner or organization or healthcareService or location', 'telecom or endpoint', 'url.exists() or data.exists()', ""vaccineCode.coding.where(system='http://hl7.org/fhir/sid/ndc').empty()"", ""valueCodeableConcept.coding.system.empty() or valueCodeableConcept.coding.system = 'http://snomed.info/sct'"", ""valueQuantity.system.empty() or valueQuantity.system = 'http://unitsofmeasure.org'""]"
entry.resource.meta.lastUpdated,4,"['2016-11-29T19:45:46Z', '2019-07-09T15:26:23.217+00:00']"
modality.coding.system,2,['http://snomed.info/sct']
contained.name,2,['Dr. Ronald Bone Direct Address']
recordedDate,8,"['2007-12-14T07:15:07-08:00', '2015-11-01', '2016-08-10T07:15:07-08:00']"
snapshot.element.binding.valueSet,98,"['http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1010.4', 'http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1010.6', 'http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1021.32', 'http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1099.30', 'http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1186.8', 'http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.11.20.9.38', 'http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.114222.4.11.1066', 'http://hl7.org/fhir/ValueSet/additional-instruction-codes', 'http://hl7.org/fhir/ValueSet/address-type|4.0.1', 'http://hl7.org/fhir/ValueSet/address-use|4.0.1', 'http://hl7.org/fhir/ValueSet/administration-method-codes', 'http://hl7.org/fhir/ValueSet/administrative-gender', 'http://hl7.org/fhir/ValueSet/administrative-gender|4.0.1', 'http://hl7.org/fhir/ValueSet/allergy-intolerance-category|4.0.1', 'http://hl7.org/fhir/ValueSet/allergy-intolerance-criticality|4.0.1', 'http://hl7.org/fhir/ValueSet/allergy-intolerance-type|4.0.1', 'http://hl7.org/fhir/ValueSet/allergyintolerance-clinical', 'http://hl7.org/fhir/ValueSet/allergyintolerance-verification', 'http://hl7.org/fhir/ValueSet/approach-site-codes', 'http://hl7.org/fhir/ValueSet/body-site', 'http://hl7.org/fhir/ValueSet/c80-facilitycodes', 'http://hl7.org/fhir/ValueSet/c80-practice-codes', 'http://hl7.org/fhir/ValueSet/care-plan-activity-kind|4.0.1', 'http://hl7.org/fhir/ValueSet/care-plan-activity-outcome', 'http://hl7.org/fhir/ValueSet/care-plan-activity-status|4.0.1', 'http://hl7.org/fhir/ValueSet/care-plan-category', 'http://hl7.org/fhir/ValueSet/care-plan-intent', 'http://hl7.org/fhir/ValueSet/care-team-category', 'http://hl7.org/fhir/ValueSet/care-team-status', 'http://hl7.org/fhir/ValueSet/clinical-findings', 'http://hl7.org/fhir/ValueSet/common-tags', 'http://hl7.org/fhir/ValueSet/composition-status|4.0.1', 'http://hl7.org/fhir/ValueSet/condition-category', 'http://hl7.org/fhir/ValueSet/condition-clinical', 'http://hl7.org/fhir/ValueSet/condition-code', 'http://hl7.org/fhir/ValueSet/condition-severity', 'http://hl7.org/fhir/ValueSet/condition-stage', 'http://hl7.org/fhir/ValueSet/condition-stage-type', 'http://hl7.org/fhir/ValueSet/condition-ver-status', 'http://hl7.org/fhir/ValueSet/contact-point-system', 'http://hl7.org/fhir/ValueSet/contact-point-system|4.0.1', 'http://hl7.org/fhir/ValueSet/contact-point-use', 'http://hl7.org/fhir/ValueSet/contact-point-use|4.0.1', 'http://hl7.org/fhir/ValueSet/contactentity-type', 'http://hl7.org/fhir/ValueSet/data-absent-reason', 'http://hl7.org/fhir/ValueSet/days-of-week|4.0.1', 'http://hl7.org/fhir/ValueSet/device-action', 'http://hl7.org/fhir/ValueSet/device-kind', 'http://hl7.org/fhir/ValueSet/device-nametype|4.0.1', 'http://hl7.org/fhir/ValueSet/device-status-reason', 'http://hl7.org/fhir/ValueSet/device-status|4.0.1', 'http://hl7.org/fhir/ValueSet/diagnosis-role', 'http://hl7.org/fhir/ValueSet/diagnostic-report-status', 'http://hl7.org/fhir/ValueSet/diagnostic-service-sections', 'http://hl7.org/fhir/ValueSet/document-classcodes', 'http://hl7.org/fhir/ValueSet/document-reference-status', 'http://hl7.org/fhir/ValueSet/document-relationship-type|4.0.1', 'http://hl7.org/fhir/ValueSet/dose-rate-type', 'http://hl7.org/fhir/ValueSet/encounter-admit-source', 'http://hl7.org/fhir/ValueSet/encounter-diet', 'http://hl7.org/fhir/ValueSet/encounter-location-status|4.0.1', 'http://hl7.org/fhir/ValueSet/encounter-participant-type', 'http://hl7.org/fhir/ValueSet/encounter-reason', 'http://hl7.org/fhir/ValueSet/encounter-special-arrangements', 'http://hl7.org/fhir/ValueSet/encounter-special-courtesy', 'http://hl7.org/fhir/ValueSet/encounter-status|4.0.1', 'http://hl7.org/fhir/ValueSet/event-status', 'http://hl7.org/fhir/ValueSet/formatcodes', 'http://hl7.org/fhir/ValueSet/goal-achievement', 'http://hl7.org/fhir/ValueSet/goal-category', 'http://hl7.org/fhir/ValueSet/goal-priority', 'http://hl7.org/fhir/ValueSet/goal-start-event', 'http://hl7.org/fhir/ValueSet/goal-status', 'http://hl7.org/fhir/ValueSet/identifier-type', 'http://hl7.org/fhir/ValueSet/identifier-use|4.0.1', 'http://hl7.org/fhir/ValueSet/immunization-function', 'http://hl7.org/fhir/ValueSet/immunization-funding-source', 'http://hl7.org/fhir/ValueSet/immunization-origin', 'http://hl7.org/fhir/ValueSet/immunization-program-eligibility', 'http://hl7.org/fhir/ValueSet/immunization-reason', 'http://hl7.org/fhir/ValueSet/immunization-route', 'http://hl7.org/fhir/ValueSet/immunization-site', 'http://hl7.org/fhir/ValueSet/immunization-status', 'http://hl7.org/fhir/ValueSet/immunization-status-reason', 'http://hl7.org/fhir/ValueSet/immunization-subpotent-reason', 'http://hl7.org/fhir/ValueSet/immunization-target-disease', 'http://hl7.org/fhir/ValueSet/languages', 'http://hl7.org/fhir/ValueSet/link-type|4.0.1', 'http://hl7.org/fhir/ValueSet/location-mode|4.0.1', 'http://hl7.org/fhir/ValueSet/location-physical-type', 'http://hl7.org/fhir/ValueSet/location-status|4.0.1', 'http://hl7.org/fhir/ValueSet/manifestation-or-symptom', 'http://hl7.org/fhir/ValueSet/marital-status', 'http://hl7.org/fhir/ValueSet/medication-as-needed-reason', 'http://hl7.org/fhir/ValueSet/medication-codes', 'http://hl7.org/fhir/ValueSet/medication-form-codes', 'http://hl7.org/fhir/ValueSet/medication-status|4.0.1', 'http://hl7.org/fhir/ValueSet/medicationrequest-category', 'http://hl7.org/fhir/ValueSet/medicationrequest-course-of-therapy', 'http://hl7.org/fhir/ValueSet/medicationrequest-intent', 'http://hl7.org/fhir/ValueSet/medicationrequest-status', 'http://hl7.org/fhir/ValueSet/medicationrequest-status-reason', 'http://hl7.org/fhir/ValueSet/mimetypes|4.0.1', 'http://hl7.org/fhir/ValueSet/name-use|4.0.1', 'http://hl7.org/fhir/ValueSet/observation-category', 'http://hl7.org/fhir/ValueSet/observation-codes', 'http://hl7.org/fhir/ValueSet/observation-interpretation', 'http://hl7.org/fhir/ValueSet/observation-methods', 'http://hl7.org/fhir/ValueSet/observation-status', 'http://hl7.org/fhir/ValueSet/observation-status|4.0.1', 'http://hl7.org/fhir/ValueSet/organization-type', 'http://hl7.org/fhir/ValueSet/participant-role', 'http://hl7.org/fhir/ValueSet/patient-contactrelationship', 'http://hl7.org/fhir/ValueSet/performer-role', 'http://hl7.org/fhir/ValueSet/procedure-category', 'http://hl7.org/fhir/ValueSet/procedure-code', 'http://hl7.org/fhir/ValueSet/procedure-followup', 'http://hl7.org/fhir/ValueSet/procedure-not-performed-reason', 'http://hl7.org/fhir/ValueSet/procedure-outcome', 'http://hl7.org/fhir/ValueSet/procedure-reason', 'http://hl7.org/fhir/ValueSet/provenance-activity-type', 'http://hl7.org/fhir/ValueSet/provenance-agent-type', 'http://hl7.org/fhir/ValueSet/provenance-entity-role|4.0.1', 'http://hl7.org/fhir/ValueSet/quantity-comparator|4.0.1', 'http://hl7.org/fhir/ValueSet/questionnaire-answers', 'http://hl7.org/fhir/ValueSet/questionnaire-answers-status|4.0.1', 'http://hl7.org/fhir/ValueSet/reaction-event-severity|4.0.1', 'http://hl7.org/fhir/ValueSet/referencerange-appliesto', 'http://hl7.org/fhir/ValueSet/referencerange-meaning', 'http://hl7.org/fhir/ValueSet/relatedperson-relationshiptype', 'http://hl7.org/fhir/ValueSet/request-intent|4.0.1', 'http://hl7.org/fhir/ValueSet/request-priority|4.0.1', 'http://hl7.org/fhir/ValueSet/request-status', 'http://hl7.org/fhir/ValueSet/request-status|4.0.1', 'http://hl7.org/fhir/ValueSet/resource-types', 'http://hl7.org/fhir/ValueSet/route-codes', 'http://hl7.org/fhir/ValueSet/security-labels', 'http://hl7.org/fhir/ValueSet/security-role-type', 'http://hl7.org/fhir/ValueSet/service-type', 'http://hl7.org/fhir/ValueSet/servicerequest-category', 'http://hl7.org/fhir/ValueSet/servicerequest-orderdetail', 'http://hl7.org/fhir/ValueSet/substance-code', 'http://hl7.org/fhir/ValueSet/ucum-bodylength|4.0.1', 'http://hl7.org/fhir/ValueSet/ucum-bodytemp|4.0.1', 'http://hl7.org/fhir/ValueSet/ucum-bodyweight|4.0.1', 'http://hl7.org/fhir/ValueSet/ucum-vitals-common|4.0.1', 'http://hl7.org/fhir/ValueSet/udi-entry-type|4.0.1', 'http://hl7.org/fhir/us/core/ValueSet/birthsex', 'http://hl7.org/fhir/us/core/ValueSet/detailed-ethnicity', 'http://hl7.org/fhir/us/core/ValueSet/detailed-race', 'http://hl7.org/fhir/us/core/ValueSet/omb-ethnicity-category', 'http://hl7.org/fhir/us/core/ValueSet/omb-race-category', 'http://hl7.org/fhir/us/core/ValueSet/simple-language', 'http://hl7.org/fhir/us/core/ValueSet/us-core-clinical-test-codes', 'http://hl7.org/fhir/us/core/ValueSet/us-core-common-sdoh-assessments', 'http://hl7.org/fhir/us/core/ValueSet/us-core-condition-code', 'http://hl7.org/fhir/us/core/ValueSet/us-core-diagnosticreport-category', 'http://hl7.org/fhir/us/core/ValueSet/us-core-diagnosticreport-lab-codes', 'http://hl7.org/fhir/us/core/ValueSet/us-core-diagnosticreport-report-and-note-codes', 'http://hl7.org/fhir/us/core/ValueSet/us-core-discharge-disposition', 'http://hl7.org/fhir/us/core/ValueSet/us-core-documentreference-category', 'http://hl7.org/fhir/us/core/ValueSet/us-core-documentreference-type', 'http://hl7.org/fhir/us/core/ValueSet/us-core-encounter-type', 'http://hl7.org/fhir/us/core/ValueSet/us-core-goal-description', 'http://hl7.org/fhir/us/core/ValueSet/us-core-narrative-status', 'http://hl7.org/fhir/us/core/ValueSet/us-core-observation-smoking-status-status', 'http://hl7.org/fhir/us/core/ValueSet/us-core-problem-or-health-concern', 'http://hl7.org/fhir/us/core/ValueSet/us-core-procedure-code', 'http://hl7.org/fhir/us/core/ValueSet/us-core-provenance-participant-type', 'http://hl7.org/fhir/us/core/ValueSet/us-core-provider-role', 'http://hl7.org/fhir/us/core/ValueSet/us-core-servicerequest-category', 'http://hl7.org/fhir/us/core/ValueSet/us-core-sexual-orientation', 'http://hl7.org/fhir/us/core/ValueSet/us-core-smoking-status-observation-codes', 'http://hl7.org/fhir/us/core/ValueSet/us-core-survey-codes', 'http://hl7.org/fhir/us/core/ValueSet/us-core-tags', 'http://hl7.org/fhir/us/core/ValueSet/us-core-usps-state', 'http://hl7.org/fhir/us/core/ValueSet/us-core-vital-signs', 'http://terminology.hl7.org/ValueSet/v2-0092', 'http://terminology.hl7.org/ValueSet/v2-0116', 'http://terminology.hl7.org/ValueSet/v2-2.7-0360', 'http://terminology.hl7.org/ValueSet/v3-ActCode', 'http://terminology.hl7.org/ValueSet/v3-ActEncounterCode', 'http://terminology.hl7.org/ValueSet/v3-ActPriority', 'http://terminology.hl7.org/ValueSet/v3-ActSubstanceAdminSubstitutionCode', 'http://terminology.hl7.org/ValueSet/v3-PurposeOfUse', 'http://terminology.hl7.org/ValueSet/v3-ServiceDeliveryLocationRoleType', 'http://terminology.hl7.org/ValueSet/v3-SubstanceAdminSubstitutionReason']"
contact.telecom.value,386,"['cgp@lists.HL7.org', 'http://www.hl7.org/Special/committees/cgp']"
item.item.item.answer.valueDecimal,2,[25000]
definition.page.nameUrl,2,['toc.html']
