key,match
entry.resource.doseQuantity.unit,ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.doseQuantity.unit
entry.resource.identifier.value,ClinicalDocument.recordTarget.patientRole.id.extension
entry.resource.confidentiality,ClinicalDocument.confidentialityCode.code
entry.resource.code.text,ClinicalDocument.component.structuredBody.component.section.entry.observation.code.translation.displayName
entry.resource.identifier.value,ClinicalDocument.component.structuredBody.component.section.entry.encounter.id.root
entry.resource.code.coding.display,ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.act.entryRelationship.act.entryRelationship.procedure.code.displayName
entry.resource.address.line,ClinicalDocument.recordTarget.patientRole.providerOrganization.addr.streetAddressLine.@value
entry.resource.relationship.coding.code,ClinicalDocument.component.structuredBody.component.section.entry.organizer.subject.relatedSubject.code.code
entry.resource.category.coding.display,ClinicalDocument.component.structuredBody.component.section.entry.organizer.code.displayName
entry.resource.address.line,ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.performer.assignedEntity.addr.streetAddressLine.@value
entry.resource.code.coding.code,ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.consumable.manufacturedProduct.manufacturedMaterial.code.translation.code
entry.resource.address.city,ClinicalDocument.component.structuredBody.component.section.entry.encounter.performer.assignedEntity.addr.city.@value
entry.resource.identifier.value,ClinicalDocument.component.structuredBody.component.section.entry.act.id.extension
entry.resource.extension.extension.valueString,ClinicalDocument.recordTarget.patientRole.patient.raceCode.displayName
entry.resource.code.coding.display,ClinicalDocument.documentationOf.serviceEvent.performer.assignedEntity.code.displayName
entry.resource.status,ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.observation.entryRelationship.observation.value.displayName
entry.resource.section.entry.display,ClinicalDocument.component.structuredBody.component.section.entry.organizer.component.observation.code.displayName
entry.resource.location.location.display,ClinicalDocument.component.structuredBody.component.section.entry.encounter.participant.participantRole.playingEntity.name.@value
entry.resource.clinicalStatus.coding.display,ClinicalDocument.component.structuredBody.component.section.entry.encounter.entryRelationship.act.entryRelationship.observation.entryRelationship.observation.value.displayName
entry.resource.identifier.value,ClinicalDocument.author.assignedAuthor.id.extension
entry.resource.code.coding.code,ClinicalDocument.component.structuredBody.component.section.entry.observation.code.code
entry.resource.section.code.coding.display,ClinicalDocument.component.structuredBody.component.section.entry.organizer.code.displayName
entry.resource.reasonReference.display,ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.entryRelationship.observation.value.displayName
entry.resource.reaction.manifestation.coding.display,ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.substanceAdministration.precondition.criterion.value.displayName
entry.resource.type.coding.display,ClinicalDocument.author.assignedAuthor.assignedAuthoringDevice.manufacturerModelName.@value
entry.resource.identifier.value,ClinicalDocument.authenticator.assignedEntity.id.extension
entry.resource.dosage.route.coding.display,ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.substanceAdministration.routeCode.displayName
entry.resource.identifier.value,ClinicalDocument.documentationOf.serviceEvent.performer.assignedEntity.id.extension
entry.resource.name.given,ClinicalDocument.recordTarget.patientRole.patient.name.given.@value
entry.resource.dosage.doseAndRate.rateRange.low.unit,ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.rateQuantity.unit
entry.resource.status,ClinicalDocument.component.structuredBody.component.section.entry.procedure.entryRelationship.procedure.statusCode.code
entry.resource.code.text,ClinicalDocument.component.structuredBody.component.section.entry.procedure.code.translation.displayName
entry.resource.status,ClinicalDocument.component.structuredBody.component.section.entry.observation.entryRelationship.observation.value.displayName
entry.resource.section.entry.display,ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.consumable.manufacturedProduct.manufacturedMaterial.code.translation.displayName
entry.resource.code.coding.display,ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.observation.participant.participantRole.playingEntity.code.translation.displayName
entry.resource.version.value,ClinicalDocument.author.assignedAuthor.assignedAuthoringDevice.softwareName.@value
entry.resource.dosage.doseAndRate.doseQuantity.unit,ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.substanceAdministration.doseQuantity.unit
entry.resource.maritalStatus.coding.code,ClinicalDocument.recordTarget.patientRole.patient.maritalStatusCode.code
entry.resource.section.entry.display,ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.observation.value.translation.displayName
entry.resource.identifier.value,ClinicalDocument.component.structuredBody.component.section.entry.supply.participant.participantRole.id.root
entry.resource.code.coding.display,ClinicalDocument.component.structuredBody.component.section.entry.act.code.displayName
entry.resource.code.coding.code,ClinicalDocument.component.structuredBody.component.section.entry.encounter.entryRelationship.observation.value.translation.code
entry.resource.section.entry.display,ClinicalDocument.component.structuredBody.component.section.entry.encounter.entryRelationship.observation.value.displayName
entry.resource.identifier.value,ClinicalDocument.component.structuredBody.component.section.entry.act.performer.assignedEntity.id.extension
entry.resource.status,ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.observation.entryRelationship.observation.entryRelationship.observation.statusCode.code
entry.resource.valueQuantity.code,ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.entryRelationship.observation.value.value
entry.resource.identifier.value,ClinicalDocument.componentOf.encompassingEncounter.id.extension
entry.resource.medicationReference.display,ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.consumable.manufacturedProduct.manufacturedMaterial.code.displayName
entry.resource.condition.outcome.coding.code,ClinicalDocument.component.structuredBody.component.section.entry.organizer.component.observation.entryRelationship.observation.value.code
entry.resource.activity.reference.display,ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.act.entryRelationship.act.entryRelationship.procedure.code.displayName
entry.resource.status,ClinicalDocument.component.structuredBody.component.section.entry.encounter.entryRelationship.observation.statusCode.code
entry.resource.code.coding.code,ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.observation.code.code
entry.resource.contact.name.family,ClinicalDocument.recordTarget.patientRole.patient.guardian.guardianPerson.name.family.@value
entry.resource.identifier.value,ClinicalDocument.component.structuredBody.component.section.entry.observation.entryRelationship.encounter.id.extension
entry.resource.code.coding.display,ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.observation.value.translation.displayName
entry.resource.contact.name.given,ClinicalDocument.recordTarget.patientRole.patient.guardian.guardianPerson.name.given.@value
entry.resource.identifier.value,ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.entryRelationship.supply.author.assignedAuthor.id.root
entry.resource.bodySite.coding.code,ClinicalDocument.component.structuredBody.component.section.entry.procedure.targetSiteCode.code
entry.resource.code.coding.display,ClinicalDocument.component.structuredBody.component.section.entry.encounter.entryRelationship.observation.value.displayName
entry.resource.address.country,ClinicalDocument.custodian.assignedCustodian.representedCustodianOrganization.addr.country.@value
entry.resource.section.entry.display,ClinicalDocument.component.structuredBody.component.section.entry.procedure.code.displayName
entry.resource.telecom.value,ClinicalDocument.custodian.assignedCustodian.representedCustodianOrganization.telecom.value
entry.resource.code.text,ClinicalDocument.component.structuredBody.component.section.entry.encounter.entryRelationship.act.entryRelationship.observation.value.displayName
entry.resource.lotNumber,ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.consumable.manufacturedProduct.manufacturedMaterial.lotNumberText.@value
entry.resource.code.coding.code,ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.observation.participant.participantRole.playingEntity.code.translation.code
entry.resource.condition.outcome.coding.display,ClinicalDocument.component.structuredBody.component.section.entry.organizer.component.observation.entryRelationship.observation.value.displayName
entry.resource.identifier.value,ClinicalDocument.author.assignedAuthor.id.root
entry.resource.route.coding.display,ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.routeCode.displayName
entry.resource.name.given,ClinicalDocument.recordTarget.patientRole.patient.maritalStatusCode.code
entry.resource.code.coding.code,ClinicalDocument.component.structuredBody.component.section.entry.act.code.code
entry.resource.relationship.coding.display,ClinicalDocument.component.structuredBody.component.section.entry.organizer.subject.relatedSubject.code.translation.displayName
entry.resource.clinicalStatus.coding.code,ClinicalDocument.component.structuredBody.component.section.entry.encounter.entryRelationship.act.statusCode.code
entry.resource.extension.extension.valueCoding.code,ClinicalDocument.recordTarget.patientRole.patient.ethnicGroupCode.code
entry.resource.dispenseRequest.quantity.unit,ClinicalDocument.versionNumber.value
entry.resource.type.text,ClinicalDocument.component.structuredBody.component.section.entry.encounter.code.originalText.@value
entry.resource.activity.reference.display,ClinicalDocument.component.structuredBody.component.section.entry.act.code.displayName
entry.resource.address.postalCode,ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.performer.assignedEntity.addr.postalCode.@value
entry.resource.manufacturer.display,ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.substanceAdministration.consumable.manufacturedProduct.manufacturerOrganization.name.@value
entry.resource.valueQuantity.unit,ClinicalDocument.component.structuredBody.component.section.entry.organizer.component.observation.value.unit
entry.resource.code.coding.display,ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.observation.participant.participantRole.playingEntity.code.displayName
entry.resource.name.given,ClinicalDocument.component.structuredBody.component.section.entry.encounter.performer.assignedEntity.assignedPerson.name.given.@value
entry.resource.code.coding.code,ClinicalDocument.component.structuredBody.component.section.entry.encounter.entryRelationship.act.entryRelationship.observation.value.code
entry.resource.section.title,ClinicalDocument.component.structuredBody.component.section.entry.organizer.code.displayName
entry.resource.bodySite.coding.code,ClinicalDocument.component.structuredBody.component.section.entry.observation.targetSiteCode.code
entry.resource.section.entry.display,ClinicalDocument.component.structuredBody.component.section.entry.observation.code.translation.displayName
entry.resource.section.entry.display,ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.observation.participant.participantRole.playingEntity.code.translation.displayName
entry.resource.code.text,ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.observation.participant.participantRole.playingEntity.name.@value
entry.resource.dispenseRequest.quantity.unit,ClinicalDocument.componentOf.encompassingEncounter.id.extension
entry.resource.dosage.route.coding.code,ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.routeCode.code
entry.resource.name.suffix,ClinicalDocument.component.structuredBody.component.section.entry.organizer.performer.assignedEntity.assignedPerson.name.suffix.@value
entry.resource.identifier.assigner.display,ClinicalDocument.recordTarget.patientRole.id.assigningAuthorityName
entry.resource.bodySite.coding.display,ClinicalDocument.component.structuredBody.component.section.entry.observation.targetSiteCode.displayName
entry.resource.type.coding.code,ClinicalDocument.code.code
entry.resource.code.coding.display,ClinicalDocument.component.structuredBody.component.section.entry.encounter.entryRelationship.observation.value.translation.displayName
entry.resource.site.coding.display,ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.approachSiteCode.displayName
entry.resource.code.coding.display,ClinicalDocument.component.structuredBody.component.section.entry.observation.code.translation.displayName
entry.resource.site.coding.code,ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.approachSiteCode.code
entry.resource.code.coding.code,ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.precondition.criterion.code.code
entry.resource.contact.address.state,ClinicalDocument.recordTarget.patientRole.patient.guardian.addr.state.@value
entry.resource.identifier.value,ClinicalDocument.component.structuredBody.component.section.entry.observation.id.root
entry.resource.identifier.value,ClinicalDocument.legalAuthenticator.assignedEntity.id.extension
entry.resource.code.coding.code,ClinicalDocument.component.structuredBody.component.section.entry.procedure.code.translation.code
entry.resource.identifier.value,ClinicalDocument.component.structuredBody.component.section.entry.encounter.performer.assignedEntity.id.extension
entry.resource.section.entry.display,ClinicalDocument.component.structuredBody.component.section.entry.procedure.code.translation.displayName
entry.resource.extension.extension.valueString,ClinicalDocument.recordTarget.patientRole.patient.ethnicGroupCode.displayName
entry.resource.bodySite.coding.display,ClinicalDocument.component.structuredBody.component.section.entry.procedure.targetSiteCode.displayName
entry.resource.name.suffix,ClinicalDocument.documentationOf.serviceEvent.performer.assignedEntity.assignedPerson.name.suffix.@value
entry.resource.effectivePeriod.start,ClinicalDocument.component.structuredBody.component.section.entry.observation.effectiveTime.low.value
entry.resource.address.city,ClinicalDocument.recordTarget.patientRole.addr.city.@value
entry.resource.name.prefix,ClinicalDocument.recordTarget.patientRole.patient.name.prefix.@value
entry.resource.address.line,ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.performer.assignedEntity.representedOrganization.addr.streetAddressLine.@value
entry.resource.valueCodeableConcept.coding.display,ClinicalDocument.component.structuredBody.component.section.entry.organizer.component.observation.value.displayName
entry.resource.type.coding.code,ClinicalDocument.component.structuredBody.component.section.entry.encounter.code.translation.code
entry.resource.class.code,ClinicalDocument.component.structuredBody.component.section.entry.encounter.code.translation.code
entry.resource.extension.valueCodeableConcept.coding.display,ClinicalDocument.recordTarget.patientRole.patient.religiousAffiliationCode.displayName
entry.resource.condition.onsetAge.unit,ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.observation.entryRelationship.observation.value.unit
entry.resource.name.given,ClinicalDocument.component.structuredBody.component.section.entry.encounter.entryRelationship.encounter.performer.assignedEntity.assignedPerson.name.given.@value
entry.resource.status,ClinicalDocument.component.structuredBody.component.section.entry.encounter.entryRelationship.act.statusCode.code
entry.resource.code.coding.display,ClinicalDocument.component.structuredBody.component.section.entry.procedure.code.translation.displayName
entry.resource.address.state,ClinicalDocument.custodian.assignedCustodian.representedCustodianOrganization.addr.state.@value
entry.resource.code.coding.code,ClinicalDocument.component.structuredBody.component.section.entry.encounter.entryRelationship.observation.value.code
entry.resource.identifier.value,ClinicalDocument.component.structuredBody.component.section.entry.organizer.id.extension
entry.resource.referenceRange.text,ClinicalDocument.component.structuredBody.component.section.entry.organizer.component.observation.referenceRange.observationRange.text.@value
entry.resource.name.given,ClinicalDocument.documentationOf.serviceEvent.performer.assignedEntity.assignedPerson.name.given.@value
entry.resource.name.family,ClinicalDocument.author.assignedAuthor.assignedPerson.name.family.@value
entry.resource.section.entry.display,ClinicalDocument.component.structuredBody.component.section.entry.encounter.code.originalText.@value
entry.resource.identifier.value,ClinicalDocument.custodian.assignedCustodian.representedCustodianOrganization.id.extension
entry.resource.address.city,ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.performer.assignedEntity.addr.city.@value
entry.resource.identifier.value,ClinicalDocument.recordTarget.patientRole.id.root
entry.resource.valueCodeableConcept.coding.display,ClinicalDocument.component.structuredBody.component.section.entry.observation.value.translation.displayName
entry.resource.manufacturer,ClinicalDocument.author.assignedAuthor.assignedAuthoringDevice.manufacturerModelName.@value
entry.resource.name.family,ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.performer.assignedEntity.assignedPerson.name.family.@value
entry.resource.dosage.timing.repeat.periodUnit,ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.effectiveTime.period.unit
entry.resource.name.family,ClinicalDocument.component.structuredBody.component.section.entry.encounter.entryRelationship.encounter.performer.assignedEntity.assignedPerson.name.family.@value
entry.resource.valueQuantity.unit,ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.entryRelationship.observation.value.value
entry.resource.identifier.value,ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.substanceAdministration.id.root
entry.resource.status,ClinicalDocument.component.structuredBody.component.section.entry.observation.entryRelationship.observation.statusCode.code
entry.resource.reaction.severity,ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.observation.entryRelationship.observation.entryRelationship.observation.value.displayName
entry.resource.section.entry.display,ClinicalDocument.component.structuredBody.component.section.entry.encounter.entryRelationship.act.entryRelationship.observation.value.displayName
entry.resource.section.entry.display,ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.observation.participant.participantRole.playingEntity.code.displayName
entry.resource.identifier.value,ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.observation.entryRelationship.observation.id.extension
entry.resource.name,ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.substanceAdministration.consumable.manufacturedProduct.manufacturerOrganization.name.@value
entry.resource.clinicalStatus.coding.display,ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.observation.entryRelationship.observation.value.displayName
entry.resource.reaction.manifestation.coding.code,ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.precondition.criterion.value.code
entry.resource.vaccineCode.coding.code,ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.consumable.manufacturedProduct.manufacturedMaterial.code.code
entry.resource.address.line,ClinicalDocument.component.structuredBody.component.section.entry.encounter.performer.assignedEntity.addr.streetAddressLine.@value
entry.resource.identifier.value,ClinicalDocument.id.root
entry.resource.address.state,ClinicalDocument.recordTarget.patientRole.addr.state.@value
entry.resource.identifier.value,ClinicalDocument.custodian.assignedCustodian.representedCustodianOrganization.id.root
entry.resource.result.display,ClinicalDocument.recordTarget.patientRole.patient.administrativeGenderCode.displayName
entry.resource.identifier.value,ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.entryRelationship.supply.id.extension
entry.resource.name,ClinicalDocument.custodian.assignedCustodian.representedCustodianOrganization.name.@value
entry.resource.address.line,ClinicalDocument.legalAuthenticator.assignedEntity.addr.streetAddressLine.@value
entry.resource.address.line,ClinicalDocument.documentationOf.serviceEvent.performer.assignedEntity.addr.streetAddressLine.@value
entry.resource.reasonCode.coding.display,ClinicalDocument.component.structuredBody.component.section.entry.encounter.entryRelationship.observation.value.displayName
entry.resource.code.coding.display,ClinicalDocument.component.structuredBody.component.section.entry.encounter.entryRelationship.act.entryRelationship.observation.value.displayName
entry.resource.valueCodeableConcept.coding.code,ClinicalDocument.component.structuredBody.component.section.entry.organizer.component.observation.value.code
entry.resource.name,ClinicalDocument.recordTarget.patientRole.providerOrganization.name.@value
entry.resource.name.given,ClinicalDocument.author.assignedAuthor.assignedPerson.name.given.@value
entry.resource.code.coding.display,ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.entryRelationship.observation.value.displayName
entry.resource.dosage.route.coding.display,ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.routeCode.displayName
entry.resource.dosageInstruction.doseAndRate.doseQuantity.unit,ClinicalDocument.versionNumber.value
entry.resource.name.given,ClinicalDocument.recordTarget.patientRole.patient.name.use
entry.resource.author.display,ClinicalDocument.author.assignedAuthor.assignedPerson.name.family.@value
entry.resource.manufacturer.display,ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.consumable.manufacturedProduct.manufacturerOrganization.name.@value
entry.resource.extension.valueCodeableConcept.coding.code,ClinicalDocument.recordTarget.patientRole.patient.religiousAffiliationCode.code
entry.resource.extension.valueAddress.postalCode,ClinicalDocument.recordTarget.patientRole.patient.birthplace.place.addr.postalCode.@value
entry.resource.identifier.value,ClinicalDocument.component.structuredBody.component.section.entry.encounter.entryRelationship.observation.id.extension
entry.resource.address.line,ClinicalDocument.recordTarget.patientRole.addr.streetAddressLine.@value
entry.resource.extension.extension.valueCoding.display,ClinicalDocument.recordTarget.patientRole.patient.raceCode.displayName
entry.resource.code.coding.code,ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.observation.value.translation.code
entry.resource.section.entry.display,ClinicalDocument.component.structuredBody.component.section.entry.encounter.code.displayName
entry.resource.identifier.value,ClinicalDocument.component.structuredBody.component.section.entry.procedure.id.extension
entry.resource.practitioner.display,ClinicalDocument.author.assignedAuthor.assignedPerson.name.family.@value
entry.resource.section.entry.display,ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.consumable.manufacturedProduct.manufacturedMaterial.code.displayName
entry.resource.valueCodeableConcept.coding.display,ClinicalDocument.component.structuredBody.component.section.entry.observation.value.displayName
entry.resource.maritalStatus.coding.display,ClinicalDocument.recordTarget.patientRole.patient.maritalStatusCode.displayName
entry.resource.type.coding.code,ClinicalDocument.documentationOf.serviceEvent.code.code
entry.resource.custodian.display,ClinicalDocument.custodian.assignedCustodian.representedCustodianOrganization.name.@value
entry.resource.valueCodeableConcept.coding.code,ClinicalDocument.component.structuredBody.component.section.entry.observation.value.code
entry.resource.effectivePeriod.end,ClinicalDocument.component.structuredBody.component.section.entry.observation.effectiveTime.high.value
entry.resource.section.entry.display,ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.observation.participant.participantRole.playingEntity.name.@value
entry.resource.identifier.value,ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.entryRelationship.observation.id.extension
entry.resource.identifier.value,ClinicalDocument.recordTarget.patientRole.providerOrganization.id.root
entry.resource.type.coding.code,ClinicalDocument.component.structuredBody.component.section.entry.encounter.code.code
entry.resource.telecom.value,ClinicalDocument.component.structuredBody.component.section.entry.procedure.performer.assignedEntity.telecom.value
entry.resource.type.coding.display,ClinicalDocument.component.structuredBody.component.section.entry.encounter.code.translation.displayName
entry.resource.reaction.manifestation.coding.display,ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.precondition.criterion.value.displayName
entry.resource.address.postalCode,ClinicalDocument.recordTarget.patientRole.addr.postalCode.@value
entry.resource.category.coding.display,ClinicalDocument.component.structuredBody.component.section.entry.encounter.entryRelationship.act.code.displayName
entry.resource.code.coding.display,ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.consumable.manufacturedProduct.manufacturedMaterial.code.displayName
entry.resource.name,ClinicalDocument.component.structuredBody.component.section.entry.procedure.performer.assignedEntity.representedOrganization.name.@value
entry.resource.identifier.value,ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.substanceAdministration.moodCode
entry.resource.extension.extension.valueCoding.code,ClinicalDocument.recordTarget.patientRole.patient.raceCode.code
entry.resource.diagnosis.condition.display,ClinicalDocument.component.structuredBody.component.section.entry.encounter.entryRelationship.act.entryRelationship.observation.value.displayName
entry.resource.contact.name.prefix,ClinicalDocument.recordTarget.patientRole.patient.guardian.guardianPerson.name.prefix.@value
entry.resource.code.coding.display,ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.observation.participant.participantRole.playingEntity.name.@value
entry.resource.code.coding.code,ClinicalDocument.component.structuredBody.component.section.entry.organizer.component.observation.code.code
entry.resource.status,ClinicalDocument.authorization.consent.statusCode.code
entry.resource.contact.address.line,ClinicalDocument.recordTarget.patientRole.patient.guardian.addr.streetAddressLine.@value
entry.resource.extension.valueAddress.state,ClinicalDocument.recordTarget.patientRole.patient.birthplace.place.addr.state.@value
entry.resource.valueQuantity.code,ClinicalDocument.component.structuredBody.component.section.entry.organizer.component.observation.value.unit
entry.resource.managingOrganization.display,ClinicalDocument.recordTarget.patientRole.providerOrganization.name.@value
entry.resource.interpretation.coding.code,ClinicalDocument.recordTarget.patientRole.patient.name.use
entry.resource.name.family,ClinicalDocument.documentationOf.serviceEvent.performer.assignedEntity.assignedPerson.name.family.@value
entry.resource.address.line,ClinicalDocument.component.structuredBody.component.section.entry.encounter.entryRelationship.encounter.performer.assignedEntity.addr.streetAddressLine.@value
entry.resource.valueCodeableConcept.coding.code,ClinicalDocument.component.structuredBody.component.section.entry.observation.value.translation.code
entry.resource.type.coding.display,ClinicalDocument.code.displayName
entry.resource.address.city,ClinicalDocument.custodian.assignedCustodian.representedCustodianOrganization.addr.city.@value
entry.resource.address.country,ClinicalDocument.recordTarget.patientRole.addr.country.@value
entry.resource.name.given,ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.performer.assignedEntity.assignedPerson.name.given.@value
entry.resource.identifier.value,ClinicalDocument.component.structuredBody.component.section.entry.procedure.id.root
entry.resource.identifier.value,ClinicalDocument.component.structuredBody.component.section.entry.act.id.root
entry.resource.code.text,ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.observation.participant.participantRole.playingEntity.code.translation.displayName
entry.resource.reasonCode.coding.code,ClinicalDocument.component.structuredBody.component.section.entry.encounter.entryRelationship.observation.value.code
entry.resource.status,ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.entryRelationship.supply.entryRelationship.act.statusCode.code
